id,name,branch,location
381,Ubon Ratchathani University,Information Technology,Thailand
382,Ubon Ratchathani University,Electronics and Communications Engineering,Thailand
383,Ubon Ratchathani University,Mechanical Engineering,Thailand
384,Ubon Ratchathani University,Electrical Engineering,Thailand
385,Ubon Ratchathani University,Civil Engineering,Thailand
386,Suranaree University of Technology,Computer Science Engineering,Thailand
387,Suranaree University of Technology,Computer Engineering,Thailand
388,Suranaree University of Technology,Information Technology,Thailand
389,Suranaree University of Technology,Electronics and Communications Engineering,Thailand
390,Suranaree University of Technology,Mechanical Engineering,Thailand
391,Suranaree University of Technology,Electrical Engineering,Thailand
392,Suranaree University of Technology,Civil Engineering,Thailand
393,Rajamangala University of Technology Tani,Computer Science Engineering,Thailand
394,Rajamangala University of Technology Tani,Computer Engineering,Thailand
395,Rajamangala University of Technology Tani,Information Technology,Thailand
396,Rajamangala University of Technology Tani,Electronics and Communications Engineering,Thailand
397,Rajamangala University of Technology Tani,Mechanical Engineering,Thailand
398,Rajamangala University of Technology Tani,Electrical Engineering,Thailand
399,Rajamangala University of Technology Tani,Civil Engineering,Thailand
400,Rajamangala University of Technology Isan,Computer Science Engineering,Thailand
401,Rajamangala University of Technology Isan,Computer Engineering,Thailand
402,Rajamangala University of Technology Isan,Information Technology,Thailand
403,Rajamangala University of Technology Isan,Electronics and Communications Engineering,Thailand
404,Rajamangala University of Technology Isan,Mechanical Engineering,Thailand
405,Rajamangala University of Technology Isan,Electrical Engineering,Thailand
406,Rajamangala University of Technology Isan,Civil Engineering,Thailand
407,Rajamangala University of Technology Phra Nakhon,Computer Science Engineering,Thailand
408,Rajamangala University of Technology Phra Nakhon,Computer Engineering,Thailand
409,Rajamangala University of Technology Phra Nakhon,Information Technology,Thailand
410,Rajamangala University of Technology Phra Nakhon,Electronics and Communications Engineering,Thailand
411,Rajamangala University of Technology Phra Nakhon,Mechanical Engineering,Thailand
412,Rajamangala University of Technology Phra Nakhon,Electrical Engineering,Thailand
413,Rajamangala University of Technology Phra Nakhon,Civil Engineering,Thailand
414,National University of Singapore,Computer Science Engineering,Singapore
415,National University of Singapore,Computer Engineering,Singapore
416,National University of Singapore,Information Technology,Singapore
417,National University of Singapore,Electronics and Communications Engineering,Singapore
418,National University of Singapore,Mechanical Engineering,Singapore
